Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
6.91864	caller	0	184	FullDelay	4.97212	4.97212e+06	2	2
6.92873	caller	0	185	LastDelay	0.00401833	4018.33	1	2
6.92873	caller	0	185	FullDelay	4.97395	4.97395e+06	2	2
6.93646	caller	0	186	LastDelay	0.00401833	4018.33	1	2
6.93646	caller	0	186	FullDelay	4.97451	4.97451e+06	2	2
6.94973	caller	0	187	LastDelay	0.00401833	4018.33	1	2
6.94973	caller	0	187	FullDelay	4.97596	4.97596e+06	2	2
6.9583	caller	0	188	LastDelay	0.00401833	4018.33	1	2
6.9583	caller	0	188	FullDelay	4.96804	4.96804e+06	2	2
6.96091	caller	0	189	LastDelay	0.00401833	4018.33	1	2
6.96091	caller	0	189	FullDelay	4.95573	4.95573e+06	2	2
6.96546	caller	0	190	LastDelay	0.00401833	4018.33	1	2
6.96546	caller	0	190	FullDelay	4.94173	4.94173e+06	2	2
6.97685	caller	0	191	LastDelay	0.00401833	4018.33	1	2
6.97685	caller	0	191	FullDelay	4.93491	4.93491e+06	2	2
6.99267	caller	0	192	LastDelay	0.00401833	4018.33	1	2
6.99267	caller	0	192	FullDelay	4.94798	4.94798e+06	2	2
7.00451	callee	0	712	LastDelay	0.00401837	4018.37	1	2
7.00451	callee	0	712	FullDelay	0.00401837	4018.37	1	2
7.00881	caller	0	193	LastDelay	0.00401833	4018.33	1	2
7.00881	caller	0	193	FullDelay	4.96125	4.96125e+06	2	2
7.01378	callee	0	713	LastDelay	0.00401837	4018.37	1	2
7.01378	callee	0	713	FullDelay	0.00401837	4018.37	1	2
7.01706	callee	0	714	LastDelay	0.00401837	4018.37	1	2
7.01706	callee	0	714	FullDelay	0.00401837	4018.37	1	2
7.02148	caller	0	194	LastDelay	0.00401833	4018.33	1	2
7.02148	caller	0	194	FullDelay	4.97347	4.97347e+06	2	2
7.0289	caller	0	195	LastDelay	0.00401833	4018.33	1	2
7.0289	caller	0	195	FullDelay	4.93137	4.93137e+06	2	2
7.03366	caller	0	196	LastDelay	0.00401833	4018.33	1	2
7.03366	caller	0	196	FullDelay	4.91976	4.91976e+06	2	2
